sentiment,review_body,product_category
-1,I agree with the previous reviewer that this shirt is way to sheer at least for me. if you don't mind wearing a cami under it or your bra and skin showing in the back especially  then it might be for you. i did not feel like it was very good quality either the print is really cute  but then it did not button all the way up and i like the option because i think they drape better when they have buttons to the top wether you choose to button up.,Blouses
-1,I read the previous reviews and ordered down a size knowing that the shirt runs big.   i really wanted to love the shirt however it was a tent. with all of the extra material in the back  it billowed out in all the wrong places. the material is comfy and it's a very cute concept  just didn't work for me.,Blouses
-1,I didn't really understand the other reviews until i received mine in the mail. i love cloth & stone and this is just not up to their normal quality. i bought the blue and yellow colors of this blouse. it's very soft  but the blue already had strings coming from under the arms and i hadn't even tried them on yet. material is super soft  but thin. cut is weird under the arms and tight. sleeves are also tight! i am usually an xs or s in cloth & stone so i ordered smalls. i just fit the arms  but t,Blouses
-1,Cute in theory  i love the bright colors  the tied black collar sash and the 70's vibe  however  the fabric is cheap  and the worst part in my view is that the seams that run along the front center of the shirt do not align the pattern. maybe this was intentional  but with the shirt i received  it looked horrible. i sent it back. i notice in the picture that the black ties are strategically placed over the center front seam  so it is a bit deceiving. i wouldn't buy this top at any price based on,Blouses
-1,I was so excited for this to arrive. at the end of last summer  my favorite shirt (you know the kind - dresses up or down with ease - it's your go to for work or a night out with friends) was ruined and i have been searching for the perfect replacement. i thought that this would be a good contender  but i was ever so disppaointed when i opened the bag...    firstly  the base color is not accurately represented in the photograph - in person its more of a peachy off-whte instead of white. still pr,Blouses
-1,On my screen this looked like burnt oranges were mixed with pink but this was all pink & very washed put pinks - looked awful on me as brunette. maybe will work for someone who likes pastels. overall style was also disappointing- just hung. this went back.,Blouses
-1,As someone with a large chest and a smaller waist  i found this top incredibly unflattering (and i like swingy tops). it was too short  too wide in the hips  and too tight in the bust. the pattern and fabric are very pretty though.,Blouses
-1,Love the movement of the blouse and how it falls. great quality material.,Blouses
-1,Very disappointed. the cutouts started to rip the first time i wore it. i've only worn it twice and i love it but the cut outs are embarrassing.,Blouses
0,I really wanted to love this top the material and pattern are lovely but the fit is strange. it looks like a maternity top on me and as another reviewer said it is right across the back but loose at arms and midsection. for the price i returned it.,Blouses
0,The detail on this top is beautiful  love the embroidery ! i wanted it to work so bad  but it is much too wide  bells out and makes my size 8/10 body look wider than it is  another reviewer mentioned the model must have it pinned on the sides  because the top does not lay like that. it runs large  especially under the arms. too bad......,Blouses
